,Unnamed: 0,Website,Connection Establishment Time,RTT,Initial Response,Latency,Page Load Time,Dependency Load Time,Page Size,IP,City,Country,WASM RTT,WASM Durations,WASM Sizes,Website Type
429,454,flashscore.com,80.1365375518799,22.9251384735107,44.0,11.4625692367554,856.0,719.0,299367.0,185.245.254.159,Brussels,Belgium,0,828,2572526,Other
436,461,vocabulary.com,63.7857913970947,22.6104259490967,402.0,11.3052129745483,2908.0,2339.0,45283.0,185.245.254.159,Brussels,Belgium,0,3528,10463082,Other
441,467,booking.com,67.1713352203369,22.7293968200684,311.0,11.3646984100342,1485.0,1174.0,583378.0,185.245.254.159,Brussels,Belgium,0,688,305220,Other
458,486,realtor.com,621.9801902771,25.935173034668,495.0,12.967586517334,15097.0,1065.0,953920.0,185.245.254.159,Brussels,Belgium,0,49634,41516441,Other
477,507,yelp.com,157.454967498779,42.4327850341797,534.0,21.2163925170898,1957.0,1950.0,108942.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,1124,6265668,Other
482,512,cambridge.org,202.362775802612,44.945240020752,164.0,22.472620010376,1788.0,1130.0,285555.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,278,293293,Educational Websites
487,517,espn.com,130.887508392334,44.4703102111816,415.0,22.2351551055908,14422.0,2854.0,810228.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,21248,31531483,Other
493,523,gsmarena.com,155.471324920654,60.1673126220703,73.0,30.0836563110352,2626.0,1224.0,63457.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,816,1510139,Other
494,524,mayoclinic.org,568.01962852478,169.141292572021,241.0,84.5706462860107,6205.0,1316.0,557808.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,5433,11002066,Health and Medical Websites
496,526,timeanddate.com,332.128047943115,42.4206256866455,90.0,21.2103128433228,14772.0,666.0,68039.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,7444,9989152,Other
498,528,thesaurus.com,284.212827682495,42.4172878265381,122.0,21.208643913269,7989.0,1031.0,242265.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,6776,16069595,Other
512,542,ytmp3.cc,663.074970245361,44.2159175872803,220.0,22.1079587936401,4494.0,3004.0,164403.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,922,3020278,Other
515,546,steampowered.com,185.627460479736,42.8175926208496,67.0,21.4087963104248,3332.0,1904.0,518860.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,463,1510139,Other
520,551,cnbc.com,440.547227859497,61.4752769470215,170.0,30.7376384735107,2538.0,727.0,2186738.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,156,47939,News Websites
530,561,vocabulary.com,138.226747512817,42.6065921783447,472.0,21.3032960891724,2454.0,1819.0,44538.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,1486,3281958,Other
531,562,mcdonalds.com,339.05816078186,47.3637580871582,98.0,23.6818790435791,2911.0,1488.0,265458.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,808,3132877,Other
536,568,xhamster.com,133.527755737305,43.1888103485107,694.0,21.5944051742554,4178.0,2282.0,329849.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,1966,3144906,Other
547,580,hotels.com,162.353277206421,43.3390140533447,486.0,21.6695070266724,3282.0,2368.0,899610.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,172,27693,Other
548,581,globo.com,660.770177841187,42.4017906188965,381.0,21.2008953094482,17070.0,4829.0,967854.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,5759,14037625,Other
551,585,expedia.com,153.045415878296,42.5736904144287,1105.0,21.2868452072144,11648.0,3766.0,1470598.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,4066,11807125,Other
555,589,nba.com,487.179756164551,42.3552989959717,679.0,21.1776494979858,4173.0,1783.0,446984.0,185.212.111.170,Sarajevo,Bosnia_And_Herzegovina,0,1720,7473630,Other
567,603,imdb.com,1221.91071510315,225.841045379639,1528.0,112.920522689819,24554.0,4996.0,839521.0,193.19.205.204,São Paulo,Brazil,0,14830,254853,Entertainment Websites
576,612,cambridge.org,718.536615371704,224.236965179443,668.0,112.118482589722,5782.0,3589.0,286060.0,193.19.205.204,São Paulo,Brazil,0,1224,293293,Educational Websites
590,626,timeanddate.com,695.301055908203,418.635129928589,391.0,209.317564964294,27021.0,2165.0,70485.0,193.19.205.204,São Paulo,Brazil,0,100638,21656192,Other
616,653,roblox.com,806.637763977051,448.490619659424,500.0,224.245309829712,7178.0,5738.0,96955.0,193.19.205.204,São Paulo,Brazil,0,10979,332914,Gaming Websites
617,654,flashscore.com,460.503578186035,263.439178466797,230.0,131.719589233398,3844.0,2615.0,299367.0,193.19.205.204,São Paulo,Brazil,0,1678,768113,Other
630,668,xhamster.com,466.783761978149,225.198745727539,871.0,112.59937286377,9735.0,4887.0,338916.0,193.19.205.204,São Paulo,Brazil,0,8596,7334328,Other
661,703,imdb.com,474.287986755371,75.8919715881348,1357.0,37.9459857940674,4371.0,2251.0,695882.0,37.46.117.185,Sofia,Bulgaria,0,202,1942,Entertainment Websites
665,707,yelp.com,142.428398132324,38.5982990264893,1160.0,19.2991495132446,3359.0,3351.0,110620.0,37.46.117.185,Sofia,Bulgaria,0,240,305220,Other
670,712,cambridge.org,124.94945526123,38.5699272155762,226.0,19.2849636077881,1944.0,1299.0,286058.0,37.46.117.185,Sofia,Bulgaria,0,694,586586,Educational Websites
675,717,espn.com,83.9889049530029,41.8977737426758,541.0,20.9488868713379,7579.0,2821.0,546292.0,37.46.117.185,Sofia,Bulgaria,0,1478,7462724,Other
683,725,cricbuzz.com,403.324842453003,37.8932952880859,97.0,18.946647644043,7919.0,436.0,146799.0,37.46.117.185,Sofia,Bulgaria,0,4153,11504875,Other
684,726,timeanddate.com,306.453227996826,38.3248329162598,82.0,19.1624164581299,1184.0,552.0,65723.0,37.46.117.185,Sofia,Bulgaria,0,1239,2403767,Other
694,736,thefreedictionary.com,382.483005523682,38.7043952941895,244.0,19.3521976470947,5191.0,1433.0,191835.0,37.46.117.185,Sofia,Bulgaria,0,5991,18967090,Educational Websites
